objectid,name,year
2529,Flat Top,1977
286,Machiavelli,1977
420,Rail Baron,1977
3464,Melee,1977
2228,War of the Ring,1977
3661,Imperium,1977
165,La Boite Magique,1977
3218,The Arab-Israeli Wars,1977
4008,Cobra  Patton's 1944 Summer Offensive in France,1977
3044,Air Assault On Crete\/Invasion of Malta  1942,1977
12898,La Bataille d'Auerst\u00e6dt,1977
710,Tom Wham's Snits!,1977
6253,'Wacht am Rhein'  The Battle of the Bulge,1977
5965,October War  Tactical Combat in the Yom Kippur Conflict,1977
7451,Jarnac!,1977
3466,WarpWar,1977
2192,Rivets,1977
5294,Fury in the West,1977
2778,Gondor,1977
3662,BattleFleet Mars  Space Combat in the 21st Century,1977
5480,Drive on Stalingrad (first edition),1977
8350,Napoleon at Eylau,1977
4235,Fulda Gap  The First Battle of the Next War,1977
10168,Citadel  The Battle of Dien Bien Phu,1977
1919,D-Day (3rd edition),1977
3667,Star Fleet Battle Manual,1977
18341,The Comprehensive Guide to Board Wargaming,1977
2444,Carrier Strike!,1977
5023,The Conquerors  The Romans and The Macedonians,1977
1555,Dungeon Dice,1977
2248,Leverage,1977
4222,War between the States (first edition),1977
6476,Yalu  The Chinese Counteroffensive in Korea,1977
7638,Case White,1977
64331,Bar-Lev  The 1973 Arab-Israeli War,1977
5818,Waving Hands,1977
2194,Chitin  I,1977
5475,After the Holocaust  The Nuclear Devastation of America \u2013 Recovery and Reunification,1977
6215,StarSoldier  Tactical Warfare in the 25th Century,1977
12936,Mini-Mentalis,1977
1781,The Warlord Game,1977
2666,A Mighty Fortress,1977
8758,Red Sun Rising,1977
1575,Gettysburg,1977
8110,The Battle of Raphia,1977
7966,Nomad Gods,1977
10611,The Battle for Jerusalem,1977
4021,Road to Richmond,1977
4172,Veracruz,1977
4971,Viva Espa\u00f1a,1977
1140,Ballonrennen,1977
7795,Bundeswehr,1977
2779,Sauron,1977
1602,UR Spiel,1977
3499,Star Trek 50th Anniversary Tridimensional Chess Set,1977
2763,Touch\u00e9,1977
1628,Elric  Battle at the End of Time,1977
1512,Hexagony,1977
2584,Code Name  Sector,1977
2038,Skirrid,1977
2198,Ergo,1977
1956,Game of Dracula,1977
7418,The Winning Ticket,1977
11751,Tactil,1977
15654,Providence's Great Blizzard Travel Game,1977
4968,Yeti,1977
5012,Snits,1977
12568,Obsession,1977
14567,Pro Foto-Football,1977
5790,Night Rescue Chutes Away!!!!!,1977
10742,Foxy,1977
5863,Canadian Civil War,1977
8470,Pearl Harbor,1977
10104,Take 5,1977
13262,Spider & Fly,1977
5244,Star Wars  Destroy Death Star Game,1977
6873,Letra-Mix,1977
4405,Big Deal,1977
5312,Family Feud,1977
10625,H\u00e5tunaleken,1977
4037,Raid!,1977
1723,Alpha Omega,1977
3114,Poleconomy  The Game of the United Kingdom,1977
1290,Shifti,1977
10105,Dirty Words,1977
5566,The Muppet Show Game,1977
1660,The Cattlemen,1977
1629,Air War  Modern Tactical Air Combat,1977
13373,Critter In The Candy,1977
